,0
0,0
1,0
2,1
3,2
4,0
5,1
6,0
7,0
8,0
9,2
10,2
11,1
12,0
13,2
14,1
15,0
16,0
17,1
18,0
19,0
20,2
21,0
22,1
23,0
24,2
25,0
26,0
27,1
28,2
29,0
30,0
31,0
32,1
33,0
34,1
35,2
36,0
37,0
38,1
39,2
40,2
41,2
42,1
43,2
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,2
54,0
55,1
56,1
57,1
58,1
59,1
60,2
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,2
69,0
70,1
71,1
72,2
73,0
74,0
75,2
76,2
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,2
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,2
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,2
111,0
112,0
113,2
114,0
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,2
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,2
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,2
152,1
153,0
154,1
155,0
156,1
157,2
158,0
159,2
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,1
168,0
169,2
170,1
171,0
172,2
173,2
174,0
175,1
176,1
177,0
178,2
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,2
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,2
221,1
222,2
223,2
224,1
225,2
226,1
227,1
228,2
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,1
239,2
240,1
241,0
242,1
243,0
244,2
245,0
246,2
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,2
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,2
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,1
279,2
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,2
291,1
292,2
293,1
294,1
295,0
296,2
297,2
298,1
299,0
300,2
301,0
302,1
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,2
311,2
312,0
313,0
314,2
315,0
316,1
317,0
318,2
319,1
320,1
321,0
322,1
323,1
324,0
325,0
326,0
327,2
328,1
329,0
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,1
341,1
342,0
343,1
344,1
345,2
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,0
358,0
359,2
360,0
361,1
362,0
363,0
364,2
365,2
366,0
367,0
368,2
369,0
370,1
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,0
380,2
381,2
382,2
383,0
384,1
385,0
386,0
387,0
388,0
389,2
390,1
391,0
392,0
393,2
394,0
395,1
396,0
397,1
398,1
399,2
400,1
401,1
402,0
403,0
404,0
405,2
406,1
407,1
408,0
409,1
410,1
411,2
412,1
413,1
414,0
415,1
416,1
417,0
418,0
419,1
420,0
421,0
422,2
423,2
424,0
425,2
426,0
427,2
428,2
429,0
430,1
431,2
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,2
458,1
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,2
472,2
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,2
484,0
485,2
486,1
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,0
495,0
496,1
497,0
498,1
499,0
500,2
501,1
502,1
503,0
504,1
505,0
506,1
507,2
508,0
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,2
518,0
519,0
520,1
521,0
522,2
523,2
524,0
525,0
526,1
527,0
528,2
529,1
530,0
531,2
532,2
