,0
0,0
1,0
2,1
3,2
4,0
5,0
6,0
7,2
8,2
9,2
10,2
11,0
12,0
13,2
14,1
15,0
16,2
17,1
18,2
19,2
20,2
21,0
22,1
23,0
24,2
25,0
26,2
27,1
28,2
29,2
30,0
31,0
32,1
33,0
34,1
35,2
36,0
37,0
38,1
39,2
40,2
41,2
42,1
43,2
44,0
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,2
54,0
55,1
56,1
57,0
58,1
59,1
60,2
61,2
62,1
63,1
64,1
65,1
66,1
67,0
68,2
69,0
70,1
71,1
72,2
73,0
74,2
75,2
76,2
77,2
78,1
79,2
80,2
81,0
82,1
83,0
84,0
85,2
86,2
87,0
88,0
89,1
90,0
91,0
92,2
93,1
94,1
95,1
96,2
97,0
98,0
99,2
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,2
109,2
110,2
111,0
112,2
113,2
114,2
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,2
126,2
127,2
128,2
129,1
130,1
131,1
132,1
133,0
134,0
135,2
136,2
137,2
138,0
139,0
140,1
141,0
142,2
143,0
144,1
145,0
146,0
147,0
148,1
149,2
150,1
151,2
152,1
153,0
154,0
155,0
156,1
157,2
158,2
159,2
160,0
161,0
162,0
163,1
164,1
165,2
166,2
167,1
168,0
169,2
170,1
171,2
172,2
173,2
174,2
175,0
176,1
177,0
178,2
179,1
180,2
181,0
182,2
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,2
193,2
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,2
211,1
212,0
213,0
214,0
215,1
216,2
217,2
218,1
219,2
220,2
221,0
222,2
223,2
224,1
225,2
226,1
227,1
228,2
229,1
230,0
231,2
232,1
233,1
234,1
235,1
236,2
237,2
238,1
239,2
240,1
241,2
242,0
243,0
244,2
245,0
246,2
247,1
248,0
249,2
250,0
251,2
252,1
253,2
254,1
255,2
256,1
257,2
258,0
259,2
260,2
261,1
262,0
263,1
264,1
265,1
266,2
267,0
268,2
269,1
270,0
271,2
272,1
273,0
274,1
275,2
276,2
277,2
278,1
279,2
280,2
281,0
282,2
283,0
284,1
285,0
286,2
287,0
288,0
289,0
290,2
291,1
292,2
293,1
294,1
295,0
296,2
297,2
298,1
299,0
300,2
301,0
302,1
303,2
304,1
305,2
306,0
307,1
308,0
309,0
310,2
311,2
312,0
313,2
314,2
315,2
316,1
317,2
318,2
319,0
320,1
321,2
322,1
323,1
324,0
325,0
326,0
327,2
328,1
329,0
330,1
331,2
332,2
333,1
334,1
335,1
336,1
337,0
338,2
339,0
340,1
341,1
342,0
343,1
344,0
345,2
346,2
347,0
348,0
349,1
350,2
351,1
352,0
353,2
354,0
355,2
356,1
357,2
358,0
359,2
360,2
361,1
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,0
370,0
371,2
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,0
380,2
381,2
382,2
383,2
384,1
385,0
386,2
387,0
388,0
389,2
390,1
391,2
392,0
393,2
394,0
395,1
396,0
397,1
398,1
399,2
400,1
401,1
402,0
403,2
404,2
405,2
406,1
407,1
408,0
409,1
410,1
411,2
412,0
413,1
414,0
415,1
416,1
417,2
418,0
419,1
420,0
421,2
422,2
423,2
424,0
425,2
426,2
427,2
428,2
429,0
430,1
431,2
432,0
433,0
434,0
435,2
436,1
437,1
438,2
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,2
448,1
449,1
450,2
451,0
452,0
453,0
454,2
455,0
456,2
457,2
458,0
459,0
460,0
461,0
462,0
463,2
464,2
465,2
466,0
467,1
468,1
469,1
470,0
471,2
472,2
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,2
484,0
485,2
486,1
487,0
488,0
489,1
490,1
491,2
492,0
493,2
494,0
495,0
496,1
497,0
498,1
499,2
500,2
501,1
502,1
503,2
504,1
505,0
506,1
507,2
508,2
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,1
517,2
518,0
519,0
520,1
521,0
522,2
523,2
524,0
525,0
526,1
527,0
528,2
529,1
530,0
531,2
532,2
